Ресурсы                                                                                                                 | Сундуки         | Выход      | Дата               
----------------------------------------------------------------------------------------------------------------------- | --------------- | ---------- | -------------------
Камни o      +/- | Дерево _/`   +/- | Смола ≈      +/- | Медь :.      +/- | Ки @         +/- | Мощь *       +/- | Кр. ♦ | o   8   Ω   Δ   | Ур. Лок.   | День       Время   
1,089,771     +  | 27,499        =  | 6,672,950     =  | 72,405        =  | 6,422,034     -  | 15,117        =  | 152   | 0   224 158 18  | 15* Плато  | 03.07.2022 00:03:18
1,091,991     +  | 27,499        =  | 6,672,950     =  | 72,405        =  | 6,426,441     +  | 15,117        =  | 152   | 0   220 166 14  | 15* Плато  | 03.07.2022 13:18:46
1,094,207     +  | 27,499        =  | 6,672,950     =  | 72,405        =  | 6,431,852     +  | 15,117        =  | 152   | 0   221 156 23  | 15* Плато  | 03.07.2022 18:55:51
1,095,996     +  | 27,499        =  | 6,672,950     =  | 72,405        =  | 6,429,475     -  | 15,117        =  | 153   | 0   203 179 18  | 15* Плато  | 04.07.2022 00:33:01
1,098,252     +  | 27,499        =  | 6,672,950     =  | 72,405        =  | 6,433,971     +  | 15,117        =  | 153   | 0   222 161 17  | 15* Плато  | 04.07.2022 10:42:31
1,100,158     +  | 27,499        =  | 6,672,950     =  | 72,405        =  | 6,439,096     +  | 15,117        =  | 153   | 0   219 164 17  | 15* Плато  | 04.07.2022 16:20:13
1,101,740     +  | 27,499        =  | 6,672,950     =  | 72,405        =  | 6,444,297     +  | 15,117        =  | 153   | 0   221 163 16  | 15* Плато  | 04.07.2022 21:57:34
1,103,840     +  | 27,499        =  | 6,672,950     =  | 72,405        =  | 6,441,168     -  | 15,117        =  | 154   | 0   224 157 19  | 15* Плато  | 05.07.2022 10:42:30
1,106,045     +  | 27,499        =  | 6,672,950     =  | 72,405        =  | 6,446,037     +  | 15,117        =  | 154   | 0   210 174 16  | 15* Плато  | 05.07.2022 17:32:22
1,108,240     +  | 27,499        =  | 6,672,950     =  | 72,405        =  | 6,443,046     -  | 15,117        =  | 155   | 0   212 162 26  | 15* Плато  | 06.07.2022 00:09:39
1,110,389     +  | 27,535        +  | 6,672,950     =  | 72,385        -  | 6,448,973     +  | 15,117        =  | 162   | 0   205 174 21  | 15* Плато  | 06.07.2022 11:18:19
1,112,272     +  | 27,535        =  | 6,672,950     =  | 72,385        =  | 6,454,681     +  | 15,117        =  | 162   | 0   216 169 15  | 15* Плато  | 06.07.2022 21:04:30
1,114,017     +  | 27,535        =  | 6,672,950     =  | 72,385        =  | 6,452,302     -  | 15,117        =  | 163   | 0   214 168 18  | 15* Плато  | 07.07.2022 11:12:52
1,115,909     +  | 27,535        =  | 6,672,950     =  | 72,385        =  | 6,456,800     +  | 15,117        =  | 163   | 0   210 173 17  | 15* Плато  | 07.07.2022 18:11:23
1,119,726     +  | 27,535        =  | 6,672,950     =  | 72,385        =  | 6,459,628     +  | 15,117        =  | 164   | 0   214 176 10  | 15* Плато  | 08.07.2022 11:39:58
1,123,209     +  | 27,535        =  | 6,672,950     =  | 72,385        =  | 6,468,214     +  | 15,117        =  | 164   | 0   204 170 9   | 15* Плато  | 08.07.2022 22:37:26
1,126,753     +  | 27,535        =  | 6,672,950     =  | 72,385        =  | 6,470,032     +  | 15,117        =  | 165   | 0   223 165 12  | 15* Плато  | 09.07.2022 11:46:50
1,130,907     +  | 27,535        =  | 6,672,950     =  | 72,385        =  | 6,481,239     +  | 15,117        =  | 165   | 0   207 174 19  | 15* Плато  | 09.07.2022 22:56:42
1,135,528     +  | 27,535        =  | 6,672,950     =  | 72,385        =  | 6,482,699     +  | 15,117        =  | 166   | 0   241 137 22  | 15* Плато  | 10.07.2022 11:44:55
1,138,807     +  | 27,535        =  | 6,672,950     =  | 72,385        =  | 6,491,730     +  | 15,117        =  | 166   | 0   229 154 17  | 15* Плато  | 10.07.2022 22:42:07
1,142,473     +  | 27,535        =  | 6,672,950     =  | 72,385        =  | 6,492,995     +  | 15,117        =  | 167   | 0   211 170 19  | 15* Плато  | 11.07.2022 11:35:18
1,146,725     +  | 27,535        =  | 6,672,950     =  | 72,385        =  | 6,504,040     +  | 15,117        =  | 176   | 0   217 172 11  | 15* Плато  | 11.07.2022 22:33:00
1,151,268     +  | 27,535        =  | 6,672,964     +  | 72,379        -  | 6,459,568     -  | 15,558        +  | 185   | 0   189 189 22  | 15* Плато  | 12.07.2022 11:59:50
1,155,439     +  | 27,535        =  | 6,672,964     =  | 72,379        =  | 6,468,869     +  | 15,558        =  | 185   | 0   238 144 18  | 15* Плато  | 12.07.2022 22:57:01
1,159,407     +  | 27,535        =  | 6,672,964     =  | 72,379        =  | 6,472,245     +  | 15,558        =  | 186   | 0   224 156 20  | 15* Плато  | 13.07.2022 12:26:42
1,163,842     +  | 27,535        =  | 6,672,964     =  | 72,379        =  | 6,481,701     +  | 15,558        =  | 186   | 0   193 191 16  | 15* Плато  | 13.07.2022 23:24:06
1,168,392     +  | 27,535        =  | 6,672,964     =  | 72,379        =  | 6,482,975     +  | 15,558        =  | 187   | 0   235 153 12  | 15* Плато  | 14.07.2022 13:12:30
1,171,856     +  | 27,535        =  | 6,672,964     =  | 72,379        =  | 6,490,821     +  | 15,558        =  | 187   | 0   167 142 11  | 15* Плато  | 14.07.2022 21:58:43
1,208,052     +  | 27,535        =  | 6,672,964     =  | 72,349        -  | 6,568,969     +  | 15,558        =  | 194   | 0   179 197 24  | 15* Плато  | 19.07.2022 09:22:30
1,210,616     +  | 27,535        =  | 6,672,964     =  | 72,349        =  | 6,575,771     +  | 15,558        =  | 194   | 0   175 120 13  | 15* Плато  | 19.07.2022 17:49:26
1,214,316     +  | 27,535        =  | 6,672,964     =  | 71,789        -  | 6,519,522     -  | 16,071        +  | 187   | 0   221 164 15  | 15* Плато  | 20.07.2022 11:08:38
1,218,143     +  | 27,535        =  | 6,672,964     =  | 71,789        =  | 6,528,411     +  | 16,071        =  | 187   | 0   228 150 22  | 15* Плато  | 20.07.2022 23:21:29
1,222,183     +  | 27,535        =  | 6,672,964     =  | 71,789        =  | 6,531,225     +  | 16,071        =  | 188   | 0   207 175 18  | 15* Плато  | 21.07.2022 11:54:06
1,225,468     +  | 27,535        =  | 6,672,964     =  | 71,789        =  | 6,541,242     +  | 16,071        =  | 188   | 0   212 169 19  | 15* Плато  | 21.07.2022 22:53:10
1,228,805     +  | 27,535        =  | 6,672,964     =  | 71,789        =  | 6,543,375     +  | 16,071        =  | 189   | 0   221 169 10  | 15* Плато  | 22.07.2022 12:14:44
1,233,145     +  | 27,535        =  | 6,672,964     =  | 71,789        =  | 6,554,379     +  | 16,071        =  | 189   | 0   224 154 22  | 15* Плато  | 22.07.2022 23:11:58
1,236,844     +  | 27,535        =  | 6,672,964     =  | 71,789        =  | 6,555,849     +  | 16,071        =  | 190   | 0   220 161 19  | 15* Плато  | 23.07.2022 10:44:43
1,240,395     +  | 27,535        =  | 6,672,964     =  | 71,789        =  | 6,565,338     +  | 16,071        =  | 190   | 0   209 175 16  | 15* Плато  | 23.07.2022 22:24:07
1,244,095     +  | 27,535        =  | 6,672,964     =  | 71,789        =  | 6,566,916     +  | 16,071        =  | 191   | 0   211 170 19  | 15* Плато  | 24.07.2022 12:32:26
